bank_id,date,amount,description,reference_id,currency
BNK_30031,2026-08-05,20644.81,DEPOSIT HCL LOGISTICS REF50031,REF50031,INR
BNK_30001,2026-08-11,597117.14,DEPOSIT TATA & SONS REF50001,REF50001,INR
BNK_30023,2026-08-06,613140.33,DEPOSIT VERMA TRADING REF50023,REF50023,INR
BNK_30032,2026-08-10,274386.36,DEPOSIT RELIANCE SERVICES REF50032,REF50032,INR
BNK_30019,2026-08-07,51986.35,DEPOSIT KUMAR HOLDINGS REF50019,REF50019,INR
BNK_30029,2026-08-13,796192.24,DEPOSIT MEHTA FINANCIALS REF50029,REF50029,INR
BNK_30011,2026-08-15,233209.28,DEPOSIT TATA FINANCIALS REF50011,REF50011,INR
BNK_30071,2026-08-11,69929.44,DEPOSIT BAJAJ FINANCIALS REF50071,REF50071,INR
BNK_30005,2026-08-04,650402.91,DEPOSIT HCL TECHNOLOGIES REF50005,REF50005,INR
BNK_30013,2026-08-16,207176.58,DEPOSIT WIPRO INDUSTRIES REF50013,REF50013,INR
BNK_30050,2026-08-12,182326.14,DEPOSIT KUMAR TRADING REF50050,REF50050,INR
BNK_30034,2026-08-16,89045.75,DEPOSIT SINGHANIA LOGISTICS REF50034,REF50034,INR
BNK_30068,2026-08-16,45031.9,DEPOSIT HCL TECHNOLOGIES REF50068,REF50068,INR
BNK_30036,2026-08-07,281352.55,DEPOSIT REDDY INDUSTRIES REF50036,REF50036,INR
BNK_30069,2026-08-05,787625.14,DEPOSIT SINGHANIA SOLUTIONS REF50069,REF50069,INR
BNK_30046,2026-08-02,469451.46,DEPOSIT HCL LOGISTICS REF50046,REF50046,INR
BNK_30074,2026-08-17,461747.63,DEPOSIT MAHINDRA SOLUTIONS REF50074,REF50074,INR
BNK_30062,2026-08-12,155798.12,DEPOSIT SINGHANIA & SONS REF50062,REF50062,INR
BNK_30056,2026-08-07,17783.37,DEPOSIT VERMA & SONS REF50056,REF50056,INR
BNK_30041,2026-08-15,16691.97,DEPOSIT MAHINDRA FINANCIALS REF50041,REF50041,INR
BNK_30010,2026-08-14,534091.71,DEPOSIT KUMAR & SONS REF50010,REF50010,INR
BNK_30065,2026-08-08,33576.58,DEPOSIT GUPTA LOGISTICS REF50065,REF50065,INR
BNK_30006,2026-08-15,137051.41,DEPOSIT CHAWLA TECHNOLOGIES REF50006,REF50006,INR
BNK_30048,2026-08-07,223507.39,DEPOSIT CHAWLA LOGISTICS REF50048,REF50048,INR
BNK_30035,2026-08-06,693111.85,DEPOSIT SINGHANIA STEEL REF50035,REF50035,INR
BNK_30063,2026-08-05,633088.99,DEPOSIT VERMA ENTERPRISES REF50063,REF50063,INR
BNK_30043,2026-08-04,775436.85,DEPOSIT MEHTA LOGISTICS REF50043,REF50043,INR
BNK_30055,2026-08-06,212130.18,DEPOSIT BIRLA STEEL REF50055,REF50055,INR
