ledger_id,date,amount,vendor,reference_id,currency
LED_20031,2026-08-05,20644.81,HCL Logistics,REF50031,INR
LED_20001,2026-08-11,597117.14,Tata & Sons,REF50001,INR
LED_20023,2026-08-06,613140.33,Verma Trading,REF50023,INR
LED_20032,2026-08-10,274386.36,Reliance Services,REF50032,INR
LED_20019,2026-08-07,51986.35,Kumar Holdings,REF50019,INR
LED_20029,2026-08-13,796192.24,Mehta Financials,REF50029,INR
LED_20011,2026-08-15,233209.28,Tata Financials,REF50011,INR
LED_20071,2026-08-11,69929.44,Bajaj Financials,REF50071,INR
LED_20005,2026-08-04,650402.91,HCL Technologies,REF50005,INR
LED_20013,2026-08-16,207176.58,Wipro Industries,REF50013,INR
LED_20050,2026-08-12,182326.14,Kumar Trading,REF50050,INR
LED_20034,2026-08-16,89045.75,Singhania Logistics,REF50034,INR
LED_20068,2026-08-16,45031.9,HCL Technologies,REF50068,INR
LED_20036,2026-08-07,281352.55,Reddy Industries,REF50036,INR
LED_20069,2026-08-05,787625.14,Singhania Solutions,REF50069,INR
LED_20046,2026-08-02,469451.46,HCL Logistics,REF50046,INR
LED_20074,2026-08-13,461747.63,Mahindra Solutions,REF50074,INR
LED_20062,2026-08-12,155798.12,Singhania & Sons,REF50062,INR
LED_20056,2026-08-07,17783.37,Verma & Sons,REF50056,INR
LED_20041,2026-08-15,16691.97,Mahindra Financials,REF50041,INR
LED_20010,2026-08-14,534091.71,Kumar & Sons,REF50010,INR
LED_20065,2026-08-08,33576.58,Gupta Logistics,REF50065,INR
LED_20006,2026-08-15,137051.41,Chawla Technologies,REF50006,INR
LED_20048,2026-08-07,223507.39,Chawla Logistics,REF50048,INR
LED_20035,2026-08-06,693111.85,Singhania Steel,REF50035,INR
LED_20063,2026-08-05,633088.99,Verma Enterprises,REF50063,INR
LED_20043,2026-08-04,775436.85,Mehta Logistics,REF50043,INR
LED_20055,2026-08-06,212130.18,Birla Steel,REF50055,INR
LED_20017,2026-08-09,599816.35,Infosys Logistics,REF50017,INR
