invoice_id,amount,due_date,vendor,currency
INV_10031,20644.81,2026-08-07,HCL Logistics,INR
INV_10001,597117.14,2026-08-13,Tata & Sons,INR
INV_10023,613140.33,2026-08-09,Verma Trading,INR
INV_10032,274386.36,2026-08-13,Reliance Services,INR
INV_10019,51986.35,2026-08-09,Kumar Holdings,INR
INV_10029,796192.24,2026-08-17,Mehta Financials,INR
INV_10011,233209.28,2026-08-17,Tata Financials,INR
INV_10071,69929.44,2026-08-16,Bajaj Financials,INR
INV_10005,650402.91,2026-08-06,HCL Technologies,INR
INV_10013,207176.58,2026-08-20,Wipro Industries,INR
INV_10050,182326.14,2026-08-14,Kumar Trading,INR
INV_10034,89045.75,2026-08-19,Singhania Logistics,INR
INV_10068,45031.9,2026-08-19,HCL Technologies,INR
INV_10036,281352.55,2026-08-09,Reddy Industries,INR
INV_10069,787625.14,2026-08-09,Singhania Solutions,INR
INV_10046,469451.46,2026-08-07,HCL Logistics,INR
INV_10074,461747.63,2026-08-18,Mahindra Solutions,INR
INV_10062,155798.12,2026-08-16,Singhania & Sons,INR
INV_10056,17783.37,2026-08-10,Verma & Sons,INR
INV_10041,16691.97,2026-08-18,Mahindra Financials,INR
INV_10010,534091.71,2026-08-15,Kumar & Sons,INR
INV_10065,33576.58,2026-08-12,Gupta Logistics,INR
INV_10006,137051.41,2026-08-16,Chawla Technologies,INR
INV_10048,223507.39,2026-08-10,Chawla Logistics,INR
INV_10035,693111.85,2026-08-07,Singhania Steel,INR
INV_10063,633088.99,2026-08-09,Verma Enterprises,INR
INV_10043,775436.85,2026-08-07,Mehta Logistics,INR
INV_10055,212130.18,2026-08-07,Birla Steel,INR
INV_10017,599816.35,2026-08-14,Infosys Logistics,INR
INV_10040,396228.28,2026-08-12,Mahindra Financials,INR
INV_10057,568948.95,2026-08-06,Agarwal Trading,INR
INV_10080,554783.59,2026-08-09,Infosys Exports,INR
INV_10008,375648.53,2026-08-09,Reliance Industries,INR
INV_10051,305078.76,2026-08-11,Kumar Logistics,INR
INV_10054,489791.41,2026-08-16,Verma Technologies,INR
INV_10020,64869.25,2026-08-18,Singhania Solutions,INR
INV_10067,752301.16,2026-08-09,Wipro Spares Pvt Ltd,INR
INV_10026,704237.54,2026-08-08,Reliance Logistics,INR
INV_10045,482102.56,2026-08-13,Mahindra Textiles Pvt Ltd,INR
INV_10014,552422.19,2026-08-07,Wipro Logistics,INR
INV_10077,88308.95,2026-08-13,Kirloskar Spares Pvt Ltd,INR
INV_10004,577075.4,2026-08-19,Wipro Logistics,INR
INV_10018,299167.21,2026-08-10,HCL Financials,INR
INV_10039,799436.74,2026-08-06,Reliance Exports,INR
INV_10009,666082.66,2026-08-17,Wipro Technologies,INR
INV_10066,69495.29,2026-08-14,Verma Services,INR
INV_10007,296798.81,2026-08-17,Reddy Textiles Pvt Ltd,INR
INV_10037,367161.64,2026-08-19,Patel Trading,INR
INV_10073,247089.33,2026-08-10,Reddy Industries,INR
INV_10059,47835.65,2026-08-17,Singhania Enterprises,INR
INV_10047,473182.75,2026-08-16,Singhania Exports,INR
INV_10079,578901.54,2026-08-18,HCL Logistics,INR
INV_10016,406896.54,2026-08-20,Patel Exports,INR
INV_10028,223069.45,2026-08-19,Wipro Enterprises,INR
INV_10042,561824.33,2026-08-21,Mehta Financials,INR
INV_10027,433174.34,2026-08-10,Kumar Holdings,INR
INV_10049,749551.42,2026-08-06,Chawla Holdings,INR
INV_10025,102816.16,2026-08-17,Godrej & Sons,INR
INV_10044,389278.99,2026-08-11,Reliance Solutions,INR
INV_10078,207201.4,2026-08-21,Sharma & Sons,INR
INV_10058,43282.09,2026-08-17,Infosys Trading,INR
INV_10012,541087.51,2026-08-08,Bajaj Logistics,INR
INV_10033,118864.8,2026-08-21,Patel Trading,INR
INV_10076,386451.16,2026-08-11,Patel Trading,INR
INV_10060,210880.85,2026-08-09,Patel Exports,INR
INV_10064,171664.67,2026-08-20,Godrej Logistics,INR
INV_10070,571396.45,2026-08-06,Verma & Sons,INR
INV_10038,701471.47,2026-08-08,Agarwal Logistics,INR
INV_10030,191387.41,2026-08-16,Tata Logistics,INR
INV_10002,596424.18,2026-08-08,Tata Exports,INR
INV_10053,222605.75,2026-08-09,Tata Enterprises,INR
INV_10022,245397.6,2026-08-11,Chawla Textiles Pvt Ltd,INR
INV_10003,88550.76,2026-08-13,Reliance & Sons,INR
INV_10024,613570.98,2026-08-06,Infosys Spares Pvt Ltd,INR
INV_10075,352462.2,2026-08-16,Mehta Logistics,INR
INV_10021,777296.53,2026-08-06,Birla Technologies,INR
INV_10061,136324.37,2026-08-13,Kirloskar Industries,INR
INV_10072,721536.77,2026-08-15,Tata Industries,INR
INV_10015,225176.59,2026-08-12,Chawla Financials,INR
INV_10052,528371.41,2026-08-06,Kirloskar Holdings,INR
